Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,314.790009,316.500000,312.670013,315.709991,307.248474,1048200
2018-08-10,314.899994,314.899994,311.390015,313.119995,304.727905,1081900
2018-08-13,312.510010,315.260010,312.000000,313.640015,305.233978,790300
2018-08-14,314.890015,320.209991,314.630005,318.589996,310.051300,974500
2018-08-15,318.369995,318.910004,314.440002,317.700012,309.185150,1321400
2018-08-16,320.000000,326.619995,319.809998,325.859985,317.126434,1195200
2018-08-17,325.859985,327.420013,324.720001,325.230011,316.513336,1397400
2018-08-20,325.260010,325.970001,323.809998,324.220001,315.530396,877400
2018-08-21,324.399994,325.410004,323.130005,324.390015,315.695862,1167600
2018-08-22,324.049988,324.519989,321.799988,321.920013,313.292053,690600
2018-08-23,322.079987,322.149994,318.869995,320.010010,311.433258,717700
2018-08-24,320.000000,321.390015,318.720001,321.290009,312.678925,773200
2018-08-27,322.070007,325.000000,322.000000,324.339996,315.647156,737500
2018-08-28,324.660004,325.000000,322.299988,324.339996,315.647156,820000
2018-08-29,324.459991,324.920013,322.200012,324.320007,315.627716,966000
2018-08-30,324.000000,326.489990,320.929993,321.850006,313.223938,1409700
2018-08-31,318.559998,320.890015,317.010010,320.410004,313.772308,1055500
2018-09-04,320.000000,322.250000,317.600006,321.910004,315.241272,947400
2018-09-05,320.890015,321.670013,319.510010,321.329987,314.673248,892700
2018-09-06,321.559998,329.540009,321.299988,328.910004,322.096252,1326600
2018-09-07,328.029999,330.880005,326.890015,328.529999,321.724091,1292000
2018-09-10,328.720001,329.179993,322.660004,322.950012,316.259705,1424000
2018-09-11,322.040009,323.850006,320.299988,322.230011,315.554626,798200
2018-09-12,321.380005,325.839996,321.380005,325.279999,318.541412,1326400
2018-09-13,326.720001,331.859985,326.589996,331.279999,324.417145,1294800
2018-09-14,331.309998,336.500000,329.500000,335.799988,328.843506,1312000
2018-09-17,336.500000,339.679993,336.000000,339.339996,332.310181,1117300
2018-09-18,340.000000,344.850006,339.480011,343.220001,336.109772,1149100
2018-09-19,343.220001,345.769989,336.510010,339.299988,332.270966,1771200
2018-09-20,339.859985,340.299988,329.010010,333.130005,326.228790,2003900
2018-09-21,334.070007,337.910004,334.070007,337.660004,330.664948,1875700
2018-09-24,336.809998,339.320007,334.299988,337.579987,330.586609,1176800
2018-09-25,338.480011,345.329987,337.450012,343.540009,336.423126,1360500
2018-09-26,343.000000,344.859985,342.390015,342.880005,335.776855,1159900
2018-09-27,344.160004,346.790009,342.410004,346.049988,338.881134,1170000
2018-09-28,345.720001,348.000000,344.709991,345.959991,338.792999,1827500
2018-10-01,347.089996,348.329987,344.869995,347.929993,340.722198,809500
2018-10-02,348.619995,349.880005,346.369995,349.070007,341.838593,960500
2018-10-03,350.000000,351.350006,347.220001,347.440002,340.242340,1237500
2018-10-04,346.820007,349.660004,345.589996,349.459991,342.220490,1203600
